1,"German American Bank(Jasper, IN)Type: Checking, Savings,",Bank Deposit,Joint,"$15,001 - $50,000","Interest,","$201 - $1,000"
2,JNMXX - Janus Money Market Fund D Share (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Interest,","$201 - $1,000"
3,JNMXX - Janus Money Market Fund D Share (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
4,JGVXX - Janus Government Money Market F (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
5,CPFXX - American Century Capital Preser (NASDAQ),Mutual FundsMutual Fund,Spouse,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
6,BGEIX - American Century Global Gold Inv (NASDAQ),Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
7,VBIAX - Vanguard Balanced Index Adm (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
8,VFITX - Vanguard Interm-Term Treasury Inv (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
9,VMRXX Vanuuard Cash Res Fed MM Adm,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10,VGELX - Vanguard Energy Adm (NASDAQ),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
11,VTHRX - Vanguard Target Retirement 2030 Inv (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
12,VFIAX - Vanguard 500 Index Admiral (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
13,USAGX - USAA Precious Metals and Minerals (NASDAQ),Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
14,RRPIX - ProFunds Rising Rates Opp Inv (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
15,RYJUX - Rydex Inverse Gov Long Bond Strategy Inv (NASDAQ),Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
16,"Alchemy, LLCCompany: Alchemy, LLC (Bowling Green, KY) Description: real estate",Business EntityLimited Liability Company (LLC),Joint,,,
16.1,"Rental PropertyDescription: Rental Property (Destin, FL)",Real EstateResidential,Joint,"$100,001 - $250,000","Rent/Royalties,","$5,001 - $15,000"
17,"Carona LimitedCompany: Carona Limited (Lake Jackson, TX) Description: Rental property.",Business EntityLimited Partnership (LP),Self,,,
17.1,"Rental Property 1Description: Rental Property (Lake Jackson, TX)",Real EstateResidential,Self,"$1,001 - $15,000","None,",None (or less than $201)
17.2,"Rental Property 2Description: Rental Property (Lake Jackson, TX)",Real EstateResidential,Self,"$1,001 - $15,000","None,",None (or less than $201)
17.3,"Rental Property 3Description: Rental Property (Lake Jackson, TX)",Real EstateResidential,Self,"$1,001 - $15,000","None,",None (or less than $201)
17.4,"Rental Property 4Description: Rental Property (Lake Jackson, TX)",Real EstateResidential,Self,"$15,001 - $50,000","None,",None (or less than $201)
17.5,"Rental Property 5Description: Farm Land (Lake Jackson, TX)",Real EstateCommercial,Self,"$1,001 - $15,000","None,",None (or less than $201)
17.6,"Rental Property 6Description: Rental Property (Lake Jackson, TX)",Real EstateResidential,Self,"$1,001 - $15,000","None,",None (or less than $201)
17.7,CashDescription: Cash,Personal PropertyOther,Self,"$15,001 - $50,000","None,",None (or less than $201)
18,JACNX - Janus Contrarian D (NASDAQ),Mutual FundsMutual Fund,Self,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
19,NuView IRA Inc,Retirement PlansIRA,Self,,,
19.1,"CHANDLER REAL ESTATE PARTNERS XV LPCompany: CHANDLER REAL ESTATE PARTNERS XV LP (Newport News, VA) Description: Investment in rental real estate",Business EntityLimited Partnership (LP),Self,"$50,001 - $100,000","None,",None (or less than $201)
19.2,"Chandler Real Estate Partners XIV LPCompany: Chandler Real Estate Partners XIV LP (Newport News, VA) Description: Investment in rental real estate",Business EntityLimited Partnership (LP),Self,"$50,001 - $100,000","None,",None (or less than $201)
19.3,"Chandler Real Estate Partners XIII LPCompany: Chandler Real Estate Partners XIII LP (Newport News, VA) Description: Investment in rental real estate",Business EntityLimited Partnership (LP),Self,"$50,001 - $100,000","None,",None (or less than $201)
19.4,"NuView IRA Inc(Longwood, FL)Type: IRA Cash Accounts,",Bank Deposit,Self,"$1,001 - $15,000","None,",None (or less than $201)
19.5,"Chandler Real Estate Partners XIX LPCompany: Chandler Real Estate Partners XIX LP (Newport News, VA) Description: Investment in rental real estate",Business EntityLimited Partnership (LP),Self,"$15,001 - $50,000","None,",None (or less than $201)
20,"Chandler Real Estate Partners XVI LPCompany: Chandler Real Estate Partners XVI LP (Newport News, VA) Description: Investment in rental real estate Filer comment:  Partnership name changed in 2021 from Chase Heritage Partners LP to name listed above.",Business EntityLimited Partnership (LP),Self,"None (or less than $1,001)","Excepted Investment Fund,","$15,001 - $50,000"
21,JANBX - Janus Henderson Balanced Fund Class D,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,","$1,001 - $2,500"
22,JNMCX - Janus Henderson Mid Cap Value Fund Class D,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
23,JNRFX - Janus Henderson Research Fund Class D,Mutual FundsMutual Fund,Spouse,"$50,001 - $100,000","Excepted Investment Fund,",None (or less than $201)
24,AOMIX - American Century Investments One Choice Portfolio:,Mutual FundsMutual Fund,Spouse,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
25,VBTLX - Vanguard Total Bond Market Index Fund Admiral Shar,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
26,"GILD - Gilead Sciences, Inc. - Common Stock",Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","Dividends,","$201 - $1,000"
27,JNGSX - Janus Henderson Global Real Estate Fund - D Shar,Mutual FundsMutual Fund,Self,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
28,"Chandler Real Estate Partners XIII LPCompany: Chandler Real Estate Partners XIII LP (Newport News, Virginia) Description: Investment in rental real estate",Business EntityLimited Partnership (LP),Self,"$100,001 - $250,000","Rent/Royalties,","$5,001 - $15,000"
29,LUV - SOUTHWEST AIRLINES,Corporate SecuritiesStock,Spouse,"$1,001 - $15,000","None,",None (or less than $201)
30,JNGTX - Janus Henderson Global Technology Fund - D Share,Mutual FundsMutual Fund,Self,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
31,SPAXXX - FIDELITY GOVERMENT MONET MARKET,Mutual FundsMutual Fund,Joint,"$250,001 - $500,000","Interest,","$5,001 - $15,000"
